tail_number,operator,home_station
N818NW,DL,ATL
N819AW,AA,DCA
N819DX,DL,ATL
N819NW,DL,DTW
N820AL,AA,DFW
N820DX,DL,ATL
N820NN,AA,CLT
N820NW,DL,DTW
N821AN,AA,DFW
N821AW,AA,DFW
N821DN,DL,MSP
N821NW,DL,DTW
N822AW,AA,CLT
N822DN,DL,ATL
N822DX,DL,ATL
N822NW,DL,ATL
N822SK,OO,ATL
N823AW,AA,PHL
N823DN,DL,ATL
N823DX,DL,ATL
N823NN,AA,DFW
N823NW,DL,HNL
N823SK,OO,DTW
N824AN,AA,DFW
N824AW,AA,ORD
N824DN,DL,ATL
N824SK,OO,DTW
N825AA,AA,DFW
N825DN,DL,MSP
N825NN,AA,DFW
N826AN,AA,DFW
N826DN,DL,MSP
N826MH,DL,ATL
N826NN,AA,DFW
N826SK,OO,DTW
N827AN,AA,ORD
N827AW,AA,CLT
N827NN,AA,DFW
N828AW,AA,DCA
N828DN,DL,ATL
N828MH,DL,ATL
N829NN,AA,DFW
N829NW,DL,ATL
N8301J,WN,DEN
N8305E,WN,LAS
N8306H,WN,BWI
N8307K,WN,DEN
N8309C,WN,DEN
N830AN,AA,DFW
N830AW,AA,CLT
N830DN,DL,ATL
N830NW,DL,HNL
N830SK,OO,DTW
N8311Q,WN,HOU
N8312C,WN,DEN
N8316H,WN,MDW
N8317M,WN,DEN
N831AW,AA,MIA
N831DN,DL,ATL
N831MH,DL,JFK
N831NW,DL,ATL
N831SK,OO,DTW
N8320J,WN,DEN
N8321D,WN,LAS
N8323C,WN,DEN
N8328A,WN,LAS
N8329B,WN,DEN
N832AA,AA,DFW
N832MH,DL,ATL
N832NN,AA,DFW
N832SK,OO,DTW
N833AA,AA,DFW
N833AW,AA,CLT
N833MH,DL,ATL
N833NN,AA,DFW
N834AA,AA,DFW
N834AW,AA,DFW
N834DN,DL,ATL
N834MH,DL,ATL
N834NN,AA,DFW
N835AN,AA,DFW
N835DN,DL,ATL
N835MH,DL,ATL
N835NN,AA,DFW
N836AA,AA,DFW
N836NN,AA,DFW
N836SK,OO,DTW
N837AN,AA,DFW
N837AW,AA,CLT
N837DN,DL,ATL
N837SK,OO,DTW
N838AA,AA,DFW
N838AW,AA,DCA
N838DN,DL,ATL
N838MH,DL,ATL
N839AA,AA,DFW
N839DN,DL,ATL
N839MH,DL,JFK
N839SK,OO,DTW
N840AW,AA,DCA
N840MH,DL,JFK
N840NN,AA,DFW
N840SK,OO,DTW
N841MH,DL,ATL
N841NN,AA,CLT
N842DN,DL,ATL
N843NN,AA,DFW
N844MH,DL,ATL
N844NN,AA,DFW
N845MH,DL,ATL
N845NN,AA,DFW
N847NN,AA,DFW
N848NN,AA,DFW
N849NN,AA,DFW
N8502Z,WN,BWI
N8503A,WN,LAS
N8504G,WN,LAS
N8508W,WN,DEN
N8509U,WN,LAS
N850DN,DL,ATL
N850NN,AA,DFW
N8511K,WN,MCO
N8512U,WN,BWI
N8515X,WN,DEN
N8517F,WN,MDW
N8518R,WN,LAS
N851DN,DL,ATL
N8522P,WN,LAS
N8524Z,WN,DEN
N8527Q,WN,LAS
N8529Z,WN,MDW
N852DN,DL,ATL
N852NW,DL,ATL
N8530W,WN,LAS
N8531Q,WN,DEN
N8532S,WN,DEN
N8533S,WN,DEN
N8535S,WN,DEN
N8536Z,WN,LAS
N8537Z,WN,LAS
N8538V,WN,LAS
N8539V,WN,DEN
N853DN,DL,ATL
N853NW,DL,ATL
N8540V,WN,DEN
N8542Z,WN,DEN
N8544Z,WN,LAS
N8545V,WN,LAS
N8546V,WN,LAS
N8547V,WN,DEN
N8548P,WN,DEN
N8549Z,WN,DEN
N854DN,DL,MSP
N854NW,DL,ATL
N8553W,WN,DEN
N8554X,WN,DEN
N8555Z,WN,MDW
N8556Z,WN,LAS
N8557Q,WN,DEN
N8558Z,WN,DEN
N8559Q,WN,DEN
N855DN,DL,ATL
N855NN,AA,DFW
N855NW,DL,ATL
N8560Z,WN,DEN
N8561Z,WN,LAS
N8562Z,WN,BWI
N8563Z,WN,LAS
N8564Z,WN,LAS
N8566Z,WN,LAS
N8567Z,WN,DEN
N8569Z,WN,DEN
N856AS,OO,ORD
N856DN,DL,MSP
N8570W,WN,DEN
N8572X,WN,DEN
N8573Z,WN,DEN
N8575Z,WN,LAS
N8577Z,WN,DEN
N8579Z,WN,DEN
N857NN,AA,DFW
N8580Z,WN,DEN
N8581Z,WN,DEN
N8582Z,WN,LAS
N8583Z,WN,LAS
N858DZ,DL,ATL
N858NN,AA,DFW
N858NW,DL,ATL
N859DN,DL,MSP
N859NW,DL,ATL
N8603F,WN,BWI
N8604K,WN,LAS
N8605E,WN,LAS
N8606C,WN,DAL
N8607M,WN,DEN
N8609A,WN,DEN
N860DN,DL,ATL
N860NW,DL,ATL
N8613K,WN,DEN
N8614M,WN,LAS
N8615E,WN,LAS
N8617E,WN,LAS
N8618N,WN,DEN
N861DN,DL,ATL
N861NN,AA,DFW
N8620H,WN,BWI
N8621A,WN,LAS
N8623F,WN,DEN
N8624J,WN,LAS
N8626B,WN,LAS
N8627B,WN,DEN
N8628A,WN,LAS
N8629A,WN,LAS
N862DN,DL,ATL
N8630B,WN,BWI
N8631A,WN,DAL
N8632A,WN,LAS
N8634A,WN,DEN
N8635F,WN,DEN
N8638A,WN,LAS
N8639B,WN,DEN
N863DN,DL,ATL
N863NN,AA,DFW
N8640D,WN,LAS
N8641B,WN,LAS
N8643A,WN,DEN
N8644C,WN,LAS
N8645A,WN,DEN
N8646B,WN,DEN
N8647A,WN,LAS
N8648A,WN,LAS
N8649A,WN,LAS
N8650F,WN,DEN
N8651A,WN,LAS
N8652B,WN,DEN
N8656B,WN,MCO
N8657B,WN,DEN
N8659D,WN,DEN
N865DN,DL,MSP
N8660A,WN,DEN
N8663A,WN,LAS
N8668A,WN,LAS
N866DN,DL,ATL
N8671D,WN,LAS
N8673F,WN,LAS
N8674B,WN,DEN
N8675A,WN,DEN
N8676A,WN,LAS
N8677A,WN,DEN
N8681M,WN,LAS
N8682B,WN,BWI
N8683D,WN,LAS
N8684F,WN,DEN
N8686A,WN,DEN
N8687A,WN,LAS
N8688J,WN,LAS
N8689C,WN,LAS
N868DN,DL,ATL
N868NN,AA,DFW
N8690A,WN,DEN
N8691A,WN,DEN
N8694E,WN,LAS
N8696E,WN,DEN
N8697C,WN,DEN
N8698B,WN,DEN
N8699A,WN,LAS
N869DN,DL,MSP
N8704Q,WN,HNL
N8705Q,WN,HNL
N8707P,WN,PHX
N8709Q,WN,LAS
N870AX,AA,DFW
N870DC,OO,PHX
N870DN,DL,ATL
N870NN,AA,DFW
N8710M,WN,HNL
N8713M,WN,HNL
N8715Q,WN,HNL
N8718Q,WN,LAS
N8719Q,WN,MDW
N871NN,AA,DFW
N8722L,WN,LAS
N8723Q,WN,HNL
N8724J,WN,HNL
N8726H,WN,LAS
N872AN,AA,DFW
N872NN,AA,DFW
N8732S,WN,LAS
N8733M,WN,HNL
N8735L,WN,HNL
N8736J,WN,HNL
N8737L,WN,HNL
N8739L,WN,BWI
N873BB,AA,DFW
N873NN,AA,DFW
N8740A,WN,HNL
N8743K,WN,LAS
N8746Q,WN,HNL
N8747Q,WN,HNL
N8748Q,WN,DEN
N8749Q,WN,LAS
N8750Q,WN,LAS
N8751R,WN,HNL
N8752Q,WN,LAS
N8754S,WN,HNL
N8755L,WN,HNL
N8756S,WN,HNL
N875DN,DL,ATL
N8761L,WN,LAS
N8764Q,WN,HNL
N8765Q,WN,HNL
N8767M,WN,DEN
N8768Q,WN,HNL
N876AL,AA,DFW
N876AS,OO,DEN
N876DN,DL,MSP
N876NN,AA,DFW
N8771D,WN,HNL
N8772M,WN,LAS
N8773Q,WN,HNL
N8776L,WN,LAS
N8777Q,WN,LAS
N8778Q,WN,DEN
N8779Q,WN,DEN
N877BF,AA,DFW
N877DN,DL,ATL
N8781Q,WN,HNL
N8782Q,WN,HNL
N8784Q,WN,HNL
N8785L,WN,LAS
N8786Q,WN,HNL
N8789Q,WN,HNL
N8790Q,WN,HNL
N8792Q,WN,LAS
N8793Q,WN,HNL
N8794Q,WN,HNL
N8795L,WN,HNL
N8796L,WN,LAS
N879BH,AA,MIA
N879DN,DL,ATL
N879NN,AA,DFW
N8800L,WN,LAS
N8801Q,WN,DEN
N8802Q,WN,DEN
N8803L,WN,DEN
N8804L,WN,DEN
N8805L,WN,DEN
N8806Q,WN,LAS
N8809L,WN,DEN
N880BJ,AA,DFW
N8810L,WN,DEN
N8811L,WN,BWI
N8813Q,WN,DEN
N8815L,WN,LAS
N8816Q,WN,LAS
N8817L,WN,DEN
N8818Q,WN,LAS
N8819L,WN,LAS
N881NN,AA,DFW
N8820L,WN,DEN
N8821S,WN,LAS
N8822Q,WN,DEN
N8824Q,WN,DEN
N8825Q,WN,DEN
N8826Q,WN,DEN
N8827Q,WN,DEN
N882DN,DL,ATL
N882NN,AA,DFW
N8833L,WN,DEN
N8836Q,WN,BWI
N8837Q,WN,DEN
N8838Q,WN,LAS
N8839Q,WN,LAS
N883DN,DL,SLC
N8840Q,WN,DEN
N8841L,WN,DEN
N8842L,WN,DEN
N8844Q,WN,MCO
N8845L,WN,DEN
N8847Q,WN,DEN
N8848Q,WN,LAS
N8850Q,WN,DEN
N8851Q,WN,DEN
N8853Q,WN,LAS
N8854Q,WN,DEN
N8857Q,WN,DEN
N8859Q,WN,LAS
N885BP,AA,DFW
N885NN,AA,DFW
N8860S,WN,LAS
N8861Q,WN,LAS
N8862Q,WN,DEN
N8864H,WN,DEN
N8866H,WN,LAS
N8869L,WN,LAS
N886NN,AA,DFW
N8870K,WN,DEN
N8871Q,WN,LAS
N8872Q,WN,DEN
N8874Q,WN,DEN
N8875B,WN,LAS
N8878L,WN,DEN
N8879Q,WN,DEN
N887DN,DL,ATL
N8880G,WN,LAS
N8882Q,WN,LAS
N8885,WN,LAS
N8886C,WN,BWI
N8888M,WN,LAS
N888DU,DL,ATL
N8892S,WN,BWI
N8894Q,WN,DEN
N8897K,WN,BWI
N8899H,WN,DEN
N889DN,DL,ATL
N8902Q,WN,LAS
N8906K,WN,DEN
N8907L,WN,DEN
N890NN,AA,DFW
N8911Q,WN,LAS
N8914Q,WN,LAS
N8917Q,WN,DEN
N8918Q,WN,LAS
N891AT,DL,ATL
N891NN,AA,DFW
N8920Q,WN,DEN
N8921Q,WN,MDW
N892AT,DL,ATL
N892DN,DL,ATL
N893AT,DL,ATL
N893DN,DL,ATL
N894DN,DL,ATL
N894NN,AA,DFW
N895AT,DL,ATL
N895DN,DL,ATL
N897DN,DL,ATL
N897NN,AA,DFW
N899AT,DL,ATL
N899DN,DL,ATL
N90024,AA,MIA
N900DU,DL,ATL
N900EV,OO,ORD
N900PC,DL,ATL
N900UW,AA,DFW
N900WN,WN,BWI
N9010R,AA,CLT
N9011P,AA,DFW
N9012,AA,DFW
N9013A,AA,DFW
N9016,AA,CLT
N901AA,AA,DFW
N9021H,AA,CLT
N9023N,AA,DFW
N9026C,AA,DFW
N9029F,AA,DFW
N902AN,AA,DFW
N902DN,DL,ATL
N902NN,AA,DFW
N903AA,AA,DFW
N903DN,DL,ATL
N903NN,AA,DFW
N904AN,AA,MIA
N904DN,DL,ATL
N904EV,OO,DEN
N904WN,WN,DEN
N905AU,AA,DFW
N905DN,DL,DTW
N905NN,AA,CLT
N906AA,AA,DFW
N906AN,AA,DFW
N907AN,AA,DFW
N907WN,WN,DEN
N908AA,AA,DFW
N908AN,AA,DFW
N908NN,AA,DFW
N909AN,AA,DFW
N909WN,WN,DEN
N910AU,AA,DFW
N910DU,DL,ATL
N910NN,AA,DFW
N912AN,AA,DFW
N912NN,AA,DFW
N912SW,OO,ORD
N912UY,AA,CLT
N913AN,AA,DFW
N913DU,DL,DTW
N913EV,OO,DEN
N913NN,AA,DFW
N913US,AA,CLT
N914EV,OO,DEN
N914UY,AA,CLT
N914WN,WN,DEN
N915AN,AA,DFW
N915AT,DL,ATL
N915US,AA,CLT
N915WN,WN,DAL
N916AN,AA,DFW
N916US,AA,CLT
N917DU,DL,ATL
N917SW,OO,DEN
N917WN,WN,DEN
N918AN,AA,DFW
N918DU,DL,ATL
N918NN,AA,DFW
N918US,AA,CLT
N919AN,AA,DFW
N919DU,DL,ATL
N919EV,OO,DEN
N919NN,AA,DFW
N919US,AA,CLT
N920AT,DL,ATL
N920DU,DL,ATL
N920EV,OO,ORD
N920US,AA,CLT
N920WN,WN,DEN
N921AT,DL,ATL
N921NN,AA,DFW
N921US,AA,CLT
N922US,AA,CLT
N922WN,WN,PHX
N923AN,AA,DFW
N923NN,AA,DFW
N924AT,DL,ATL
N924US,AA,CLT
N924WN,WN,DAL
N925EV,OO,ORD
N925UY,AA,CLT
N925WN,WN,DEN
N926AN,AA,DFW
N926DZ,DL,ATL
N926NN,AA,DFW
N926UW,AA,CLT
N926WN,WN,BWI
N927AN,AA,DFW
N927NN,AA,CLT
N927UW,AA,CLT
N928AT,DL,ATL
N928DU,DL,ATL
N929AA,AA,DFW
N929DZ,DL,ATL
N929EV,OO,DEN
N929SW,OO,ORD
N929WN,WN,LAS
N930AU,AA,DFW
N930DZ,DL,MSP
N930SW,OO,ORD
N931AN,AA,DFW
N931WN,WN,DEN
N932AN,AA,DFW
N932DZ,DL,ATL
N932NN,AA,DFW
N932WN,WN,DEN
N933AM,AA,DFW
N933AN,AA,DFW
N933AT,DL,ATL
N933NN,AA,DFW
N933WN,WN,DEN
N934AN,AA,DFW
N934AT,DL,ATL
N934NN,AA,DFW
N934WN,WN,DAL
N935AN,AA,DFW
N935AT,DL,DTW
N935DZ,DL,ATL
N935NN,AA,DFW
N936AN,AA,DFW
N936DZ,DL,ATL
N936NN,AA,DFW
N937AT,DL,ATL
N937WN,WN,DEN
N938AN,AA,DFW
N938AT,DL,ATL
N938DZ,DL,ATL
N939AN,AA,DFW
N939AT,DL,ATL
N939DZ,DL,ATL
N939NN,AA,DFW
N939SW,OO,DEN
N939WN,WN,DEN
N940AN,AA,DFW
N940NN,AA,DFW
N940WN,WN,DEN
N941DZ,DL,ATL
N941WN,WN,DEN
N942AN,AA,DFW
N942AT,DL,ATL
N942NN,AA,DFW
N942WN,WN,DEN
N943AT,DL,ATL
N943DZ,DL,ATL
N943NN,AA,DFW
N943SW,OO,DEN
N943WN,WN,LAS
N944AN,AA,DFW
N944AT,DL,ATL
N944DZ,DL,ATL
N944NN,AA,DFW
N944SW,OO,ORD
N945AN,AA,DFW
N945AT,DL,DTW
N945NN,AA,DFW
N945SW,OO,ORD
N946DZ,DL,ATL
N946WN,WN,BWI
N947AN,AA,DFW
N947DZ,DL,ATL
N947NN,AA,DFW
N947SW,OO,ORD
N948AN,AA,DFW
N948AT,DL,ATL
N948DZ,DL,ATL
N948NN,AA,DFW
N948WN,WN,DEN
N949AT,DL,ATL
N949DZ,DL,ATL
N949NN,AA,DFW
N949WN,WN,DEN
N950AN,AA,ORD
N950DZ,DL,ATL
N950NN,AA,DFW
N950WN,WN,DAL
N951DX,DL,ATL
N951NN,AA,DFW
N952AA,AA,DFW
N952DZ,DL,ATL
N952WN,WN,DAL
N953AN,AA,DFW
N954AN,AA,DFW
N954DZ,DL,ATL
N954SW,OO,DEN
N954WN,WN,BWI
N955AT,DL,ATL
N956DZ,DL,ATL
N956NN,AA,DFW
N956SW,OO,DEN
N956WN,WN,DAL
N957AN,AA,MIA
N957AT,DL,ATL
N957NN,AA,DFW
N957SW,OO,DEN
N958AN,AA,DFW
N958DZ,DL,ATL
N958NN,AA,DFW
N958SW,OO,DEN
N959AN,AA,DFW
N959DZ,DL,ATL
N959NN,AA,DFW
N960AT,DL,ATL
N960DZ,DL,ATL
N960NN,AA,DFW
N960SW,OO,DEN
N961AN,AA,DFW
N961AT,DL,ATL
N961NN,AA,DFW
N961SW,OO,ORD
N961WN,WN,DEN
N962AN,AA,DFW
N962DZ,DL,ATL
N962NN,AA,DFW
N963AN,AA,DFW
N963DZ,DL,ATL
N963NN,AA,DFW
N963SW,OO,ORD
N963WN,WN,DEN
N964AN,AA,CLT
N964AT,DL,ATL
N964NN,AA,DFW
N964SW,OO,ORD
N964WN,WN,DEN
N965AN,AA,DFW
N965AT,DL,ATL
N965NN,AA,DFW
N965SW,OO,ORD
N966AT,DL,ATL
N967AT,DL,ATL
N967NN,AA,DFW
N967WN,WN,DEN
N968AN,AA,DFW
N968NN,AA,DFW
N968WN,WN,DAL
N969NN,AA,DFW
N970SW,OO,ORD
N970UY,AA,CLT
N971AN,AA,CLT
N971AT,DL,ATL
N971NN,AA,DFW
N971SW,OO,DEN
N972AN,AA,DFW
N972NN,AA,DFW
N973AN,AA,DFW
N973NN,AA,DFW
N974AN,AA,DFW
N975AN,AA,DFW
N976AN,AA,CLT
N976NN,AA,DFW
N976UY,AA,CLT
N977NN,AA,DFW
N978NN,AA,DFW
N978UY,AA,CLT
N979AN,AA,DFW
N979AT,DL,ATL
N979UY,AA,CLT
N980AN,AA,DFW
N980AT,DL,ATL
N980NN,AA,DFW
N981NN,AA,DFW
N981UY,AA,CLT
N982NN,AA,DFW
N982SW,OO,ORD
N983AN,AA,MIA
N983AT,DL,ATL
N983SW,OO,DEN
N985AT,DL,ATL
N985NN,AA,DFW
N986NN,AA,DFW
N987AM,AA,DFW
N987AN,AA,DFW
N987NN,AA,CLT
N988AL,AA,DFW
N988NN,AA,DFW
N989AN,AA,ORD
N989AT,DL,ATL
N989AU,AA,DFW
N989NN,AA,DFW
N990AN,AA,DFW
N990AU,AA,DFW
N991AU,AA,DFW
N991NN,AA,DFW
N992AN,AA,DFW
N992AT,DL,ATL
N992AU,AA,DFW
N992NN,AA,PHX
N993AT,DL,ATL
N994AN,AA,CLT
N995AN,AA,DFW
N995NN,AA,DFW
N996AN,AA,DFW
N996AT,DL,ATL
N997AA,AA,CLT
N997NN,AA,DFW
N998AN,AA,DFW
